index,start_time,end_time,text,sentiment_score,cumulative_sentiment
1,00:02:16.612000,00:02:19.376000,"Senator, we're making
our final approach into Coruscant.",0.0,0.0
2,00:02:19.482000,00:02:21.609000,"Very good, Lieutenant.",0.0,0.0
3,00:03:13.336000,00:03:15.167000,We made it.,0.0,0.0
4,00:03:18.608000,00:03:20.371000,I guess I was wrong.,0.0,0.0
5,00:03:20.476000,00:03:22.671000,There was no danger at all.,0.0,0.0
6,00:03:41.531000,00:03:43.158000,Cord¨¦.,0.0,0.0
7,00:03:44.500000,00:03:47.469000,"Milady, I'm so sorry.",0.0,0.0
8,00:03:48.371000,00:03:50.464000,"I've failed you, Senator.",0.0,0.0
9,00:03:50.573000,00:03:51.699000,No.,0.0,0.0
10,00:03:54.877000,00:03:57.368000,"Milady, you're still in danger here.",0.0,0.0
11,00:04:03.853000,00:04:07.118000,"- I shouldn't have come back.
- This vote is very important.",0.0,0.0
12,00:04:07.423000,00:04:11.052000,"You did your duty.
Cord¨¦ did hers. Now, come.",0.0,0.0
13,00:04:12.929000,00:04:15.022000,"Senator Amidala, please.",0.0,0.0
14,00:04:26.609000,00:04:29.703000,"I don't know how much longer
I can hold off the vote, my friends.",0.0,0.0
15,00:04:30.513000,00:04:33.346000,"More and more star systems
are joining the separatists.",0.0,0.0
16,00:04:33.449000,00:04:35.280000,If they do break away...,0.0,0.0
17,00:04:35.384000,00:04:38.649000,"I will not let this Republic
that has stood for a thousand years...",0.0,0.0
18,00:04:38.754000,00:04:40.813000,be split in two.,0.0,0.0
19,00:04:40.923000,00:04:43.892000,My negotiations will not fail.,0.0,0.0
20,00:04:44.226000,00:04:46.558000,"If they do, you must realize...",0.0,0.0
21,00:04:46.696000,00:04:48.755000,"there aren't enough Jedi
to protect the Republic.",0.0,0.0
22,00:04:49.699000,00:04:52.395000,"We're keepers of the peace,
not soldiers.",0.0,0.0
23,00:04:53.869000,00:04:55.564000,Master Yoda...,0.0,0.0
24,00:04:56.539000,00:04:59.201000,"do you think it will
really come to war?",0.0,0.0
25,00:05:00.710000,00:05:05.010000,The dark side clouds everything.,0.0,0.0
26,00:05:05.114000,00:05:10.074000,Impossible to see the future is.,0.0,0.0
27,00:05:11.921000,00:05:15.152000,"The Loyalist Committee
has arrived, Your Honor.",0.0,0.0
28,00:05:15.257000,00:05:16.246000,Good.,0.7,0.7
29,00:05:18.794000,00:05:20.955000,Send them in.,0.0,0.7
30,00:05:21.063000,00:05:23.896000,We will discuss this matter later.,0.0,0.7
31,00:05:28.104000,00:05:31.972000,"Senator Amidala, your tragedy
on the landing platform...",0.0,0.7
32,00:05:32.074000,00:05:33.974000,terrible.,-1.0,-0.30000000000000004
33,00:05:34.243000,00:05:37.872000,"Seeing you alive brings
warm feelings to my heart.",0.0,-0.30000000000000004
34,00:05:37.980000,00:05:40.710000,"Do you have any idea
who was behind this attack?",0.0,-0.30000000000000004
35,00:05:40.816000,00:05:45.412000,"Our intelligence points to disgruntled
spice miners on the moons of Naboo.",0.0,-0.30000000000000004
36,00:05:46.322000,00:05:48.381000,"I think that Count Dooku
was behind it.",0.0,-0.30000000000000004
37,00:05:48.491000,00:05:52.393000,"He is a political idealist,
not a murderer.",0.0,-0.30000000000000004
38,00:05:52.495000,00:05:55.487000,"You know, milady,
Count Dooku was once a Jedi.",0.0,-0.30000000000000004
39,00:05:55.598000,00:05:59.056000,"He couldn't assassinate anyone.
It's not in his character.",0.0,-0.30000000000000004
40,00:05:59.168000,00:06:01.728000,"But for certain, Senator...",0.0,-0.30000000000000004
41,00:06:01.837000,00:06:05.671000,in grave danger you are.,0.0,-0.30000000000000004
42,00:06:06.842000,00:06:09.743000,"MasterJedi, may I suggest...",0.0,-0.30000000000000004
43,00:06:09.845000,00:06:13.941000,"the senator be placed under
the protection of your graces?",0.0,-0.30000000000000004
44,00:06:14.050000,00:06:17.110000,"Do you really think that's a wise
decision under these stressful times?",0.0,-0.30000000000000004
45,00:06:17.219000,00:06:19.346000,"Chancellor, if I may comment,
I do not believe...",0.0,-0.30000000000000004
46,00:06:19.455000,00:06:21.787000,The situation is that serious?,0.0,-0.30000000000000004
47,00:06:22.358000,00:06:24.349000,"No, but I do, Senator.",0.0,-0.30000000000000004
48,00:06:24.460000,00:06:27.793000,"I realize all too well
that additional security...",0.0,-0.30000000000000004
49,00:06:27.897000,00:06:31.389000,might be disruptive for you...,0.0,-0.30000000000000004
50,00:06:31.500000,00:06:34.162000,"but perhaps someone
you're familiar with.",0.0,-0.30000000000000004
51,00:06:34.503000,00:06:38.303000,"An old friend, like Master Kenobi.",0.0,-0.30000000000000004
52,00:06:39.175000,00:06:40.699000,That's possible.,0.0,-0.30000000000000004
53,00:06:40.810000,00:06:43.540000,"He's just returned
from a border dispute on Ansion.",0.0,-0.30000000000000004
54,00:06:44.714000,00:06:46.841000,"Do it for me, milady. Please?",0.0,-0.30000000000000004
55,00:06:46.949000,00:06:49.349000,The thought of losing you...,0.0,-0.30000000000000004
56,00:06:51.087000,00:06:53.146000,is unbearable.,0.0,-0.30000000000000004
57,00:06:54.023000,00:06:57.220000,"I will have Obi-Wan
report to you immediately, milady.",0.0,-0.30000000000000004
58,00:06:57.326000,00:06:59.556000,"Thank you, Master Windu.",0.0,-0.30000000000000004
59,00:07:08.704000,00:07:12.470000,"- You seem a little on edge.
- Not at all.",0.0,-0.30000000000000004
60,00:07:12.575000,00:07:16.204000,"I haven't felt you this tense since
we fell into that nest of gundarks.",0.0,-0.30000000000000004
61,00:07:16.946000,00:07:18.937000,"You fell into that nightmare, Master...",0.0,-0.30000000000000004
62,00:07:19.048000,00:07:21.482000,"and I rescued you, remember?",0.0,-0.30000000000000004
63,00:07:21.951000,00:07:23.976000,Oh... yes.,0.0,-0.30000000000000004
64,00:07:29.425000,00:07:33.486000,"You're sweating. Relax.
Take a deep breath.",0.0,-0.30000000000000004
65,00:07:34.530000,00:07:36.691000,"I haven't seen her
in ten years, Master.",0.0,-0.30000000000000004
66,00:07:51.380000,00:07:54.110000,Obi? Obi!,0.0,-0.30000000000000004
67,00:07:54.216000,00:07:57.879000,"- Mesa so smilen to seein yousa!
- Good to see you again, JarJar.",0.0,-0.30000000000000004
68,00:07:57.987000,00:07:59.978000,Senator Padm¨¦.,0.0,-0.30000000000000004
69,00:08:00.089000,00:08:03.684000,"Mesa palos here!
Lookie, lookie, Senator.",0.0,-0.30000000000000004
70,00:08:03.793000,00:08:06.523000,Desa Jedi arriven.,0.0,-0.30000000000000004
71,00:08:10.399000,00:08:13.095000,"It's a great pleasure
to see you again, milady.",0.0,-0.30000000000000004
72,00:08:13.202000,00:08:15.693000,"It has been far too long,
Master Kenobi.",0.0,-0.30000000000000004
73,00:08:17.072000,00:08:18.505000,Ani?,0.0,-0.30000000000000004
74,00:08:18.607000,00:08:21.906000,"- My goodness, you've grown.
- So have you.",0.0,-0.30000000000000004
75,00:08:22.011000,00:08:24.411000,"Grown more beautiful, I mean.",0.0,-0.30000000000000004
76,00:08:24.513000,00:08:27.209000,"Well, for a senator, I mean.",0.0,-0.30000000000000004
77,00:08:29.585000,00:08:32.713000,"Ani, you'll always be that little boy
I knew on Tatooine.",0.0,-0.30000000000000004
78,00:08:34.290000,00:08:37.748000,"Our presence here will be invisible,
milady, I can assure you.",0.0,-0.30000000000000004
79,00:08:37.860000,00:08:40.328000,"I'm Captain Typho
of Her Majesty's security service.",0.0,-0.30000000000000004
80,00:08:40.429000,00:08:42.488000,"Queen Jamillia has been informed
of your assignment.",0.0,-0.30000000000000004
81,00:08:42.598000,00:08:44.725000,"I am grateful you are here,
Master Kenobi.",0.0,-0.30000000000000004
82,00:08:44.834000,00:08:47.598000,"The situation is more dangerous
than the senator will admit.",0.0,-0.30000000000000004
83,00:08:47.703000,00:08:50.399000,"I don't need more security.
I need answers.",0.0,-0.30000000000000004
84,00:08:50.506000,00:08:52.736000,"I want to know
who's trying to kill me.",0.0,-0.30000000000000004
85,00:08:52.842000,00:08:56.676000,"We are here to protect you,
Senator, not to start an investigation.",0.0,-0.30000000000000004
86,00:08:56.779000,00:08:59.179000,"We will find out
who's trying to kill you, Padm¨¦.",0.0,-0.30000000000000004
87,00:08:59.281000,00:09:01.112000,I promise you.,0.0,-0.30000000000000004
88,00:09:01.217000,00:09:03.947000,"We will not exceed our mandate,
my young Padawan learner.",0.0,-0.30000000000000004
89,00:09:04.053000,00:09:07.022000,"I meant that in the interest
of protecting her, Master, of course.",0.0,-0.30000000000000004
90,00:09:07.156000,00:09:09.624000,"We will not go through
this exercise again, Anakin...",0.0,-0.30000000000000004
91,00:09:09.725000,00:09:11.693000,"and you will pay attention
to my lead.",0.0,-0.30000000000000004
92,00:09:11.794000,00:09:13.853000,"- Why?
- What?",0.0,-0.30000000000000004
93,00:09:15.731000,00:09:19.462000,"Why else do you think we were assigned
to her if not to find the killer?",0.0,-0.30000000000000004
94,00:09:19.568000,00:09:22.867000,"Protection is a job
for local security, notJedi.",0.0,-0.30000000000000004
95,00:09:22.972000,00:09:25.805000,"It's overkill, Master.
Investigation is implied in our mandate.",0.0,-0.30000000000000004
96,00:09:25.908000,00:09:29.173000,"We will do exactly
as the council has instructed.",0.0,-0.30000000000000004
97,00:09:31.680000,00:09:34.672000,"And you will learn
your place, young one.",0.0,-0.30000000000000004
98,00:09:38.187000,00:09:40.212000,Perhaps with merely your presence...,0.0,-0.30000000000000004
99,00:09:40.322000,00:09:43.257000,"the mystery surrounding
this threat will be revealed.",0.0,-0.30000000000000004
100,00:09:43.359000,00:09:45.953000,"Now, if you'll excuse me...",0.0,-0.30000000000000004
101,00:09:46.195000,00:09:47.890000,I will retire.,0.0,-0.30000000000000004
102,00:09:49.265000,00:09:51.324000,"I know I'll feel better
having you here.",0.0,-0.30000000000000004
103,00:09:51.433000,00:09:53.594000,"I'll have an officer stationed
on every floor...",0.0,-0.30000000000000004
