index,start_time,end_time,text,sentiment_score,cumulative_sentiment
1,00:02:47.620000,00:02:49.620000,Did you hear that?,0.0,0.0
2,00:02:49.710000,00:02:52.500000,"They shut down the main reactor.
We'll be destroyed for sure.",0.0,0.0
3,00:02:52.580000,00:02:54.170000,This is madness.,0.0,0.0
4,00:03:04.180000,00:03:05.640000,We're doomed.,0.0,0.0
5,00:03:08.020000,00:03:10.270000,"There'll be no escape
for the princess this time.",0.0,0.0
6,00:03:13.610000,00:03:15.070000,What's that?,0.0,0.0
7,00:04:57.380000,00:04:59.880000,"R2-D2, where are you?",0.0,0.0
8,00:05:16.440000,00:05:18.900000,At last. Where have you been?,0.0,0.0
9,00:05:18.980000,00:05:22.110000,"They're heading in this direction.
What are we going to do?",0.0,0.0
10,00:05:22.190000,00:05:25.490000,"We'll be sent to the Kessel spice mines
or smashed into who knows what.",0.0,0.0
11,00:05:26.860000,00:05:28.700000,Wait a minute. Where are you going?,0.0,0.0
12,00:05:41.460000,00:05:44.510000,"The Death Star plans
are not in the main computer.",0.0,0.0
13,00:05:45.170000,00:05:47.220000,"Where are those transmissions
you intercepted?",0.0,0.0
14,00:05:47.300000,00:05:50.140000,What have you done with those plans?,0.0,0.0
15,00:05:50.220000,00:05:52.220000,We intercepted no transmissions.,0.0,0.0
16,00:05:53.180000,00:05:57.190000,"This is a consular ship.
We're on a diplomatic mission.",0.0,0.0
17,00:05:57.270000,00:06:01.900000,"If this is a consular ship,
where is the ambassador?",0.0,0.0
18,00:06:05.320000,00:06:08.860000,"Commander, tear this ship apart
until you've found those plans!",0.0,0.0
19,00:06:08.950000,00:06:11.910000,"And bring me the passengers!
I want them alive!",0.0,0.0
20,00:06:24.380000,00:06:25.920000,There's one. Set for stun.,0.0,0.0
21,00:06:31.640000,00:06:33.310000,She'll be all right.,0.0,0.0
22,00:06:33.390000,00:06:35.310000,Inform Lord Vader we have a prisoner.,0.0,0.0
23,00:06:36.890000,00:06:39.390000,"Hey. You're not permitted in there.
It's restricted.",0.0,0.0
24,00:06:39.480000,00:06:41.440000,You'll be deactivated for sure.,0.0,0.0
25,00:06:43.400000,00:06:46.081000,"Don't call me a mindless philosopher,
you overweight glob of grease.",0.0,0.0
26,00:06:46.110000,00:06:47.780000,"Come out, before somebody sees you.",0.0,0.0
27,00:06:50.160000,00:06:52.370000,Secret mission? What plans?,0.0,0.0
28,00:06:52.450000,00:06:55.080000,"What are you talking about?
I'm not getting in there.",0.0,0.0
29,00:06:58.410000,00:07:00.670000,I'm going to regret this.,0.0,0.0
30,00:07:07.800000,00:07:11.130000,"- There goes another one.
- Hold your fire. There's no life-forms.",0.0,0.0
31,00:07:11.220000,00:07:12.550000,It must have short-circuited.,0.0,0.0
32,00:07:12.640000,00:07:15.970000,"That's funny. The damage
doesn't look as bad from out here.",0.0,0.0
33,00:07:18.310000,00:07:20.310000,Are you sure this thing is safe?,0.0,0.0
34,00:07:39.250000,00:07:41.750000,Darth Vader. Only you could be so bold.,0.0,0.0
35,00:07:41.830000,00:07:43.633000,"The Imperial Senate will
not sit still for this.",0.0,0.0
36,00:07:43.645000,00:07:45.460000,"When they hear you've
attacked a diplomatic...",0.0,0.0
37,00:07:45.540000,00:07:47.630000,"Don't act so surprised, Your Highness.",0.0,0.0
38,00:07:47.710000,00:07:49.630000,"You weren't on
any mercy mission this time.",0.0,0.0
39,00:07:49.720000,00:07:53.840000,"Several transmissions
were beamed to this ship by rebel spies.",0.0,0.0
40,00:07:53.930000,00:07:56.810000,"I want to know what happened
to the plans they sent you.",0.0,0.0
41,00:07:56.890000,00:07:58.930000,I don't know what you're talking about.,0.0,0.0
42,00:07:59.020000,00:08:02.020000,"I'm a member of the Imperial Senate
on a diplomatic mission to Alderaan.",0.0,0.0
43,00:08:02.100000,00:08:04.980000,"You are part of the Rebel Alliance
and a traitor.",0.0,0.0
44,00:08:05.060000,00:08:07.020000,Take her away!,0.0,0.0
45,00:08:11.360000,00:08:12.860000,Holding her is dangerous.,0.0,0.0
46,00:08:12.950000,00:08:16.490000,"If word of this gets out, it could generate
sympathy for the rebellion in the senate.",0.0,0.0
47,00:08:16.580000,00:08:18.950000,I have traced the rebel spies to her.,0.0,0.0
48,00:08:19.040000,00:08:21.750000,"Now she is my only link
to finding their secret base.",0.0,0.0
49,00:08:21.830000,00:08:23.750000,"She'll die before
she'll tell you anything.",0.0,0.0
50,00:08:23.830000,00:08:25.500000,Leave that to me.,0.0,0.0
51,00:08:25.580000,00:08:29.090000,"Send a distress signal, and then inform
the senate that all aboard were killed.",0.0,0.0
52,00:08:29.170000,00:08:32.300000,"Lord Vader, the battle station plans
are not aboard this ship...",0.0,0.0
53,00:08:32.380000,00:08:33.840000,and no transmissions were made.,0.0,0.0
54,00:08:33.930000,00:08:38.140000,"An escape pod was jettisoned during the
fighting, but no life-forms were aboard.",0.0,0.0
55,00:08:38.220000,00:08:41.230000,"She must have hidden
the plans in the escape pod.",0.0,0.0
56,00:08:41.310000,00:08:44.900000,"Send a detachment down to retrieve them.
See to it personally, Commander.",0.0,0.0
57,00:08:44.980000,00:08:47.060000,There'll be no one to stop us this time.,0.0,0.0
