index,start_time,end_time,text,sentiment_score,cumulative_sentiment
1,00:03:33.463000,00:03:35.381000,Echo Three to Echo Seven.,0.0,0.0
2,00:03:35.465000,00:03:37.383000,"Han, old buddy, do you read me?",0.0,0.0
3,00:03:37.467000,00:03:39.385000,"<i>Loud and clear, kid. What's up?</i>",0.0,0.0
4,00:03:39.469000,00:03:40.428000,I finished my circle.,0.0,0.0
5,00:03:40.512000,00:03:42.221000,I don't pick up any life readings.,0.0,0.0
6,00:03:42.305000,00:03:45.641000,"<i>There isn't enough life on this ice cube</i>
<i>to fill a space cruiser.</i>",0.0,0.0
7,00:03:45.726000,00:03:47.560000,<i>Sensors are placed. I'm going back.</i>,0.0,0.0
8,00:03:47.644000,00:03:49.395000,Right. I'll see you shortly.,0.0,0.0
9,00:03:49.479000,00:03:51.439000,"There's a meteorite
that hit the ground near here.",0.0,0.0
10,00:03:51.440000,00:03:53.858000,I want to check it out. It won't take long.,0.0,0.0
11,00:03:55.360000,00:03:57.862000,"Steady, girl. What's the matter?",0.0,0.0
12,00:03:57.946000,00:03:59.947000,You smell something?,0.0,0.0
13,00:04:00.031000,00:04:01.323000,Rrraaah!,0.0,0.0
14,00:04:40.447000,00:04:41.906000,Chewie!,0.0,0.0
15,00:04:41.990000,00:04:44.366000,Chewie?,0.0,0.0
16,00:04:44.451000,00:04:45.743000,Chewie!,0.0,0.0
17,00:04:48.830000,00:04:50.414000,All right! Don't lose your temper.,0.0,0.0
18,00:04:50.499000,00:04:52.708000,I'll come right back and give you a hand.,0.0,0.0
19,00:05:13.355000,00:05:14.480000,Solo?,0.0,0.0
20,00:05:14.564000,00:05:16.816000,"No sign of life out there, General.",0.0,0.0
21,00:05:16.900000,00:05:18.234000,The sensors are in place.,0.0,0.0
22,00:05:18.318000,00:05:19.485000,You'll know if anything comes around.,0.0,0.0
23,00:05:19.569000,00:05:21.153000,Commander Skywalker reported in yet?,0.0,0.0
24,00:05:21.238000,00:05:23.447000,"No. He's checking out
a meteorite that hit near him.",0.0,0.0
25,00:05:23.532000,00:05:25.616000,"With all the meteor activity
in this system,",0.0,0.0
26,00:05:25.700000,00:05:27.409000,"it's going to be difficult to spot
approaching ships.",0.0,0.0
27,00:05:27.494000,00:05:29.745000,"General, I got to leave.
I can't stay anymore.",0.0,0.0
28,00:05:29.830000,00:05:30.830000,I'm sorry to hear that.,0.0,0.0
29,00:05:30.914000,00:05:32.081000,"Well, there's a price on my head.",0.0,0.0
30,00:05:32.165000,00:05:33.582000,"If I don't pay off Jabba the Hutt,",0.0,0.0
31,00:05:33.667000,00:05:34.917000,I'm a dead man.,0.0,0.0
32,00:05:35.001000,00:05:37.127000,"A death mark's not
an easy thing to live with.",0.0,0.0
33,00:05:37.212000,00:05:38.629000,"You're a good fighter, Solo.",0.0,0.0
34,00:05:38.713000,00:05:40.714000,I hate to lose you.,0.0,0.0
35,00:05:40.799000,00:05:42.716000,"Thank you, General.",0.0,0.0
36,00:05:49.599000,00:05:52.852000,"Well, Your Highness, guess this is it.",0.0,0.0
37,00:05:52.936000,00:05:54.854000,That's right.,0.0,0.0
38,00:05:54.938000,00:05:58.357000,"Well, don't get all mushy on me.",0.0,0.0
39,00:05:58.441000,00:06:00.109000,"So long, Princess.",0.0,0.0
40,00:06:02.195000,00:06:04.947000,Han!,0.0,0.0
41,00:06:05.031000,00:06:06.949000,"Yes, Your Highnessness?",0.0,0.0
42,00:06:07.033000,00:06:09.076000,I thought you had decided to stay.,0.0,0.0
43,00:06:09.160000,00:06:12.162000,"Well, the bounty hunter we ran into
in Ord Mantell changed my mind.",0.0,0.0
44,00:06:12.247000,00:06:14.248000,"Han, we need you!",0.0,0.0
45,00:06:14.332000,00:06:15.332000,We need?,0.0,0.0
46,00:06:15.417000,00:06:16.417000,Yes.,0.0,0.0
47,00:06:16.501000,00:06:17.541000,"Well, what about you need?",0.0,0.0
48,00:06:17.586000,00:06:18.627000,I need?,0.0,0.0
49,00:06:18.712000,00:06:20.963000,I don't know what you're talking about.,0.0,0.0
50,00:06:21.047000,00:06:22.840000,You probably don't.,0.0,0.0
51,00:06:22.924000,00:06:24.717000,And what precisely am I supposed to know?,0.0,0.0
52,00:06:24.801000,00:06:26.594000,Come on!,0.0,0.0
53,00:06:26.678000,00:06:28.971000,"You want me to stay
because of the way you feel about me.",0.0,0.0
54,00:06:29.055000,00:06:31.724000,"Yes! You're a great help to us.
You're a natural leader.",0.0,0.0
55,00:06:31.808000,00:06:34.435000,No! That's not it.,0.0,0.0
56,00:06:34.519000,00:06:35.936000,Come on.,0.0,0.0
