index,start_time,end_time,text,sentiment_score,cumulative_sentiment
1,00:02:28.794000,00:02:30.629000,"Command station,
this is ST-321.",0.0,0.0
2,00:02:30.754000,00:02:32.256000,Code clearance blue.,0.0,0.0
3,00:02:32.339000,00:02:33.507000,We're starting our approach.,0.0,0.0
4,00:02:33.632000,00:02:35.259000,Deactivate the security shield.,0.0,0.0
5,00:02:35.384000,00:02:37.636000,"The security deflector shield
will be deactivated...",0.0,0.0
6,00:02:37.761000,00:02:40.639000,"when we have confirmation
of your code transmission.",0.0,0.0
7,00:02:40.764000,00:02:41.807000,Stand by.,0.0,0.0
8,00:02:43.267000,00:02:45.144000,You are clear to proceed.,0.0,0.0
9,00:02:45.269000,00:02:46.729000,We're starting our approach.,0.0,0.0
10,00:02:58.657000,00:03:02.661000,[Siren],0.0,0.0
11,00:03:13.881000,00:03:15.341000,Inform the commander...,0.0,0.0
12,00:03:15.466000,00:03:17.760000,"that Lord Vader's
shuttle has arrived.",0.0,0.0
13,00:03:17.843000,00:03:18.928000,Sir.,0.0,0.0
14,00:03:55.005000,00:03:57.174000,"Lord Vader, this is
an unexpected pleasure.",0.0,0.0
15,00:03:57.258000,00:03:58.676000,We're honored by your presence.,0.0,0.0
16,00:03:58.759000,00:04:01.220000,"You may dispense
with the pleasantries, Commander.",0.0,0.0
17,00:04:01.345000,00:04:03.597000,"I'm here to put you
back on schedule.",0.0,0.0
18,00:04:03.722000,00:04:04.723000,"I assure you,
Lord Vader...",0.0,0.0
19,00:04:04.849000,00:04:07.017000,"my men are working
as fast as they can.",0.0,0.0
20,00:04:07.142000,00:04:10.563000,"Perhaps I can find
new ways to motivate them.",0.0,0.0
21,00:04:10.688000,00:04:14.859000,"I tell you this station
will be operational, as planned.",0.0,0.0
22,00:04:14.984000,00:04:16.861000,"The emperor
does not share...",0.0,0.0
23,00:04:16.944000,00:04:20.614000,"your optimistic appraisal
of the situation.",0.0,0.0
24,00:04:20.739000,00:04:22.616000,But he asks the impossible.,0.0,0.0
25,00:04:22.741000,00:04:24.118000,I need more men.,0.0,0.0
26,00:04:24.243000,00:04:27.538000,"Then perhaps you can tell him
when he arrives.",0.0,0.0
27,00:04:27.663000,00:04:29.832000,"The emperor's
coming here?",0.0,0.0
